,unique_id,ds,y
78,vfr,1999-09-30,20026
79,vfr,1999-12-31,20431
80,vfr,2000-03-31,24284
81,vfr,2000-06-30,19430
82,vfr,2000-09-30,19358
83,vfr,2000-12-31,21834
84,vfr,2001-03-31,23461
85,vfr,2001-06-30,20351
86,vfr,2001-09-30,20876
87,vfr,2001-12-31,21093
88,vfr,2002-03-31,24805
89,vfr,2002-06-30,20576
90,vfr,2002-09-30,23966
91,vfr,2002-12-31,23466
92,vfr,2003-03-31,27380
93,vfr,2003-06-30,23010
94,vfr,2003-09-30,22477
95,vfr,2003-12-31,24683
96,vfr,2004-03-31,30568
97,vfr,2004-06-30,23863
98,vfr,2004-09-30,23254
99,vfr,2004-12-31,24212
100,vfr,2005-03-31,28811
101,vfr,2005-06-30,19635
102,vfr,2005-09-30,19743
103,vfr,2005-12-31,19954
104,vfr,2006-03-31,26245
105,vfr,2006-06-30,22948
106,vfr,2006-09-30,19751
107,vfr,2006-12-31,22758
108,bus,1998-03-31,9815
109,bus,1998-06-30,11823
110,bus,1998-09-30,13565
111,bus,1998-12-31,11478
112,bus,1999-03-31,10027
113,bus,1999-06-30,11875
114,bus,1999-09-30,11713
115,bus,1999-12-31,10582
116,bus,2000-03-31,9734
117,bus,2000-06-30,10590
118,bus,2000-09-30,11311
119,bus,2000-12-31,13075
120,bus,2001-03-31,9031
121,bus,2001-06-30,10366
122,bus,2001-09-30,11888
123,bus,2001-12-31,11053
124,bus,2002-03-31,9824
125,bus,2002-06-30,10418
126,bus,2002-09-30,13598
127,bus,2002-12-31,12164
128,bus,2003-03-31,9985
129,bus,2003-06-30,10584
130,bus,2003-09-30,11212
131,bus,2003-12-31,11020
132,bus,2004-03-31,9522
133,bus,2004-06-30,10010
134,bus,2004-09-30,11998
135,bus,2004-12-31,10266
136,bus,2005-03-31,9084
137,bus,2005-06-30,9161
138,bus,2005-09-30,11000
139,bus,2005-12-31,11547
140,bus,2006-03-31,8712
141,bus,2006-06-30,10099
142,bus,2006-09-30,11352
143,bus,2006-12-31,10784
144,oth,1998-03-31,2740
145,oth,1998-06-30,3466
146,oth,1998-09-30,6114
147,oth,1998-12-31,5976
148,oth,1999-03-31,3126
149,oth,1999-06-30,4068
150,oth,1999-09-30,5820
151,oth,1999-12-31,6187
152,oth,2000-03-31,4603
153,oth,2000-06-30,3595
154,oth,2000-09-30,5590
155,oth,2000-12-31,5614
156,oth,2001-03-31,3821
157,oth,2001-06-30,5000
158,oth,2001-09-30,4826
159,oth,2001-12-31,7262
160,oth,2002-03-31,4421
161,oth,2002-06-30,3636
162,oth,2002-09-30,6163
163,oth,2002-12-31,7243
164,oth,2003-03-31,3173
165,oth,2003-06-30,4390
166,oth,2003-09-30,6009
167,oth,2003-12-31,5286
168,oth,2004-03-31,3671
169,oth,2004-06-30,3651
170,oth,2004-09-30,4945
171,oth,2004-12-31,6669
172,oth,2005-03-31,4054
173,oth,2005-06-30,4122
174,oth,2005-09-30,5156
175,oth,2005-12-31,5473
176,oth,2006-03-31,4079
177,oth,2006-06-30,3699
178,oth,2006-09-30,3897
179,oth,2006-12-31,4157
180,nsw-hol,1998-03-31,17589
181,nsw-hol,1998-06-30,11027
182,nsw-hol,1998-09-30,8910
183,nsw-hol,1998-12-31,10658
184,nsw-hol,1999-03-31,16152
185,nsw-hol,1999-06-30,9840
186,nsw-hol,1999-09-30,9265
187,nsw-hol,1999-12-31,10427
188,nsw-hol,2000-03-31,16340
189,nsw-hol,2000-06-30,9797
190,nsw-hol,2000-09-30,10394
191,nsw-hol,2000-12-31,11236
192,nsw-hol,2001-03-31,15025
193,nsw-hol,2001-06-30,9939
194,nsw-hol,2001-09-30,8865
195,nsw-hol,2001-12-31,10458
196,nsw-hol,2002-03-31,14986
197,nsw-hol,2002-06-30,9472
198,nsw-hol,2002-09-30,9041
199,nsw-hol,2002-12-31,10585
200,nsw-hol,2003-03-31,14617
201,nsw-hol,2003-06-30,8915
202,nsw-hol,2003-09-30,8249
203,nsw-hol,2003-12-31,9154
204,nsw-hol,2004-03-31,13353
205,nsw-hol,2004-06-30,9191
206,nsw-hol,2004-09-30,8525
207,nsw-hol,2004-12-31,8738
208,nsw-hol,2005-03-31,15026
209,nsw-hol,2005-06-30,7812
210,nsw-hol,2005-09-30,8128
211,nsw-hol,2005-12-31,7609
212,nsw-hol,2006-03-31,14418
213,nsw-hol,2006-06-30,9489
214,nsw-hol,2006-09-30,8998
215,nsw-hol,2006-12-31,9252
216,vic-hol,1998-03-31,10412
217,vic-hol,1998-06-30,6025
218,vic-hol,1998-09-30,5060
219,vic-hol,1998-12-31,5481
220,vic-hol,1999-03-31,10958
221,vic-hol,1999-06-30,5841
222,vic-hol,1999-09-30,5104
223,vic-hol,1999-12-31,4774
224,vic-hol,2000-03-31,9972
225,vic-hol,2000-06-30,5758
226,vic-hol,2000-09-30,4743
227,vic-hol,2000-12-31,5438
228,vic-hol,2001-03-31,11187
229,vic-hol,2001-06-30,6108
230,vic-hol,2001-09-30,4804
231,vic-hol,2001-12-31,5155
232,vic-hol,2002-03-31,9655
233,vic-hol,2002-06-30,5400
234,vic-hol,2002-09-30,4665
235,vic-hol,2002-12-31,5706
236,vic-hol,2003-03-31,9232
237,vic-hol,2003-06-30,5615
238,vic-hol,2003-09-30,4810
239,vic-hol,2003-12-31,5214
240,vic-hol,2004-03-31,9601
241,vic-hol,2004-06-30,5891
242,vic-hol,2004-09-30,4646
243,vic-hol,2004-12-31,5145
244,vic-hol,2005-03-31,10246
245,vic-hol,2005-06-30,4855
246,vic-hol,2005-09-30,4584
247,vic-hol,2005-12-31,4960
248,vic-hol,2006-03-31,10464
249,vic-hol,2006-06-30,5489
250,vic-hol,2006-09-30,4055
251,vic-hol,2006-12-31,5288
252,qld-hol,1998-03-31,9078
253,qld-hol,1998-06-30,6310
254,qld-hol,1998-09-30,11733
255,qld-hol,1998-12-31,8109
256,qld-hol,1999-03-31,10047
257,qld-hol,1999-06-30,8088
258,qld-hol,1999-09-30,12553
259,qld-hol,1999-12-31,9652
260,qld-hol,2000-03-31,10077
261,qld-hol,2000-06-30,8564
262,qld-hol,2000-09-30,10802
263,qld-hol,2000-12-31,8687
264,qld-hol,2001-03-31,9559
265,qld-hol,2001-06-30,8465
266,qld-hol,2001-09-30,11424
267,qld-hol,2001-12-31,10397
268,qld-hol,2002-03-31,11063
269,qld-hol,2002-06-30,7323
270,qld-hol,2002-09-30,11553
271,qld-hol,2002-12-31,9596
272,qld-hol,2003-03-31,10609
273,qld-hol,2003-06-30,7392
274,qld-hol,2003-09-30,11900
275,qld-hol,2003-12-31,9858
276,qld-hol,2004-03-31,8990
277,qld-hol,2004-06-30,8054
278,qld-hol,2004-09-30,12995
279,qld-hol,2004-12-31,9073
280,qld-hol,2005-03-31,9844
281,qld-hol,2005-06-30,7551
282,qld-hol,2005-09-30,11262
283,qld-hol,2005-12-31,8197
284,qld-hol,2006-03-31,9766
285,qld-hol,2006-06-30,7953
286,qld-hol,2006-09-30,10105
287,qld-hol,2006-12-31,9909
288,sa-hol,1998-03-31,3089
289,sa-hol,1998-06-30,1935
290,sa-hol,1998-09-30,1569
291,sa-hol,1998-12-31,2270
292,sa-hol,1999-03-31,3023
293,sa-hol,1999-06-30,2219
294,sa-hol,1999-09-30,1712
295,sa-hol,1999-12-31,1940
296,sa-hol,2000-03-31,3282
297,sa-hol,2000-06-30,1845
298,sa-hol,2000-09-30,2599
299,sa-hol,2000-12-31,1973
300,sa-hol,2001-03-31,3038
301,sa-hol,2001-06-30,2038
302,sa-hol,2001-09-30,1715
303,sa-hol,2001-12-31,2172
304,sa-hol,2002-03-31,2671
305,sa-hol,2002-06-30,2109
306,sa-hol,2002-09-30,1810
307,sa-hol,2002-12-31,2178
308,sa-hol,2003-03-31,2751
309,sa-hol,2003-06-30,2187
310,sa-hol,2003-09-30,1762
311,sa-hol,2003-12-31,1940
312,sa-hol,2004-03-31,3210
313,sa-hol,2004-06-30,2118
314,sa-hol,2004-09-30,1681
315,sa-hol,2004-12-31,1875
316,sa-hol,2005-03-31,2873
317,sa-hol,2005-06-30,2047
318,sa-hol,2005-09-30,1769
319,sa-hol,2005-12-31,1939
320,sa-hol,2006-03-31,2982
321,sa-hol,2006-06-30,2373
322,sa-hol,2006-09-30,1443
323,sa-hol,2006-12-31,2162
324,wa-hol,1998-03-31,3449
325,wa-hol,1998-06-30,2454
326,wa-hol,1998-09-30,3398
327,wa-hol,1998-12-31,3561
328,wa-hol,1999-03-31,4287
329,wa-hol,1999-06-30,3905
330,wa-hol,1999-09-30,3729
331,wa-hol,1999-12-31,2732
332,wa-hol,2000-03-31,5131
333,wa-hol,2000-06-30,3324
334,wa-hol,2000-09-30,3118
335,wa-hol,2000-12-31,3013
336,wa-hol,2001-03-31,3136
337,wa-hol,2001-06-30,3604
338,wa-hol,2001-09-30,3413
339,wa-hol,2001-12-31,2728
340,wa-hol,2002-03-31,4168
341,wa-hol,2002-06-30,2848
342,wa-hol,2002-09-30,3091
343,wa-hol,2002-12-31,2651
344,wa-hol,2003-03-31,3888
345,wa-hol,2003-06-30,3155
346,wa-hol,2003-09-30,3330
347,wa-hol,2003-12-31,2853
348,wa-hol,2004-03-31,4316
349,wa-hol,2004-06-30,2478
350,wa-hol,2004-09-30,3869
351,wa-hol,2004-12-31,2870
352,wa-hol,2005-03-31,3569
353,wa-hol,2005-06-30,2887
354,wa-hol,2005-09-30,3121
355,wa-hol,2005-12-31,2502
356,wa-hol,2006-03-31,3356
357,wa-hol,2006-06-30,2862
358,wa-hol,2006-09-30,4076
359,wa-hol,2006-12-31,3536
360,tas-hol,1998-03-31,2102
361,tas-hol,1998-06-30,1098
362,tas-hol,1998-09-30,458
363,tas-hol,1998-12-31,1320
364,tas-hol,1999-03-31,2113
365,tas-hol,1999-06-30,759
366,tas-hol,1999-09-30,742
367,tas-hol,1999-12-31,940
368,tas-hol,2000-03-31,1618
369,tas-hol,2000-06-30,854
370,tas-hol,2000-09-30,812
371,tas-hol,2000-12-31,1166
372,tas-hol,2001-03-31,1886
373,tas-hol,2001-06-30,1104
374,tas-hol,2001-09-30,622
375,tas-hol,2001-12-31,746
376,tas-hol,2002-03-31,2171
377,tas-hol,2002-06-30,843
378,tas-hol,2002-09-30,544
379,tas-hol,2002-12-31,1023
380,tas-hol,2003-03-31,1955
381,tas-hol,2003-06-30,1269
382,tas-hol,2003-09-30,432
383,tas-hol,2003-12-31,1173
384,tas-hol,2004-03-31,2391
385,tas-hol,2004-06-30,1178
386,tas-hol,2004-09-30,351
387,tas-hol,2004-12-31,1108
388,tas-hol,2005-03-31,2199
389,tas-hol,2005-06-30,741
390,tas-hol,2005-09-30,624
391,tas-hol,2005-12-31,881
392,tas-hol,2006-03-31,2269
393,tas-hol,2006-06-30,1792
394,tas-hol,2006-09-30,544
395,tas-hol,2006-12-31,887
396,nt-hol,1998-03-31,187
397,nt-hol,1998-06-30,498
398,nt-hol,1998-09-30,1364
399,nt-hol,1998-12-31,414
400,nt-hol,1999-03-31,213
401,nt-hol,1999-06-30,790
402,nt-hol,1999-09-30,1518
403,nt-hol,1999-12-31,653
404,nt-hol,2000-03-31,610
405,nt-hol,2000-06-30,710
406,nt-hol,2000-09-30,1689
407,nt-hol,2000-12-31,819
408,nt-hol,2001-03-31,241
409,nt-hol,2001-06-30,992
410,nt-hol,2001-09-30,1416
411,nt-hol,2001-12-31,381
412,nt-hol,2002-03-31,174
413,nt-hol,2002-06-30,904
414,nt-hol,2002-09-30,1109
415,nt-hol,2002-12-31,1051
416,nt-hol,2003-03-31,270
417,nt-hol,2003-06-30,676
418,nt-hol,2003-09-30,1208
419,nt-hol,2003-12-31,477
420,nt-hol,2004-03-31,230
421,nt-hol,2004-06-30,547
422,nt-hol,2004-09-30,1576
423,nt-hol,2004-12-31,261
424,nt-hol,2005-03-31,286
425,nt-hol,2005-06-30,826
426,nt-hol,2005-09-30,1459
427,nt-hol,2005-12-31,330
428,nt-hol,2006-03-31,346
429,nt-hol,2006-06-30,819
430,nt-hol,2006-09-30,1717
431,nt-hol,2006-12-31,811
432,nsw-vfr,1998-03-31,9398
433,nsw-vfr,1998-06-30,7829
434,nsw-vfr,1998-09-30,7277
435,nsw-vfr,1998-12-31,8303
436,nsw-vfr,1999-03-31,10386
437,nsw-vfr,1999-06-30,7113
438,nsw-vfr,1999-09-30,7188
439,nsw-vfr,1999-12-31,8704
440,nsw-vfr,2000-03-31,8769
441,nsw-vfr,2000-06-30,6968
442,nsw-vfr,2000-09-30,6785
443,nsw-vfr,2000-12-31,8369
444,nsw-vfr,2001-03-31,8811
445,nsw-vfr,2001-06-30,8317
446,nsw-vfr,2001-09-30,7890
447,nsw-vfr,2001-12-31,7293
448,nsw-vfr,2002-03-31,8891
449,nsw-vfr,2002-06-30,7946
450,nsw-vfr,2002-09-30,8429
451,nsw-vfr,2002-12-31,9235
452,nsw-vfr,2003-03-31,9338
453,nsw-vfr,2003-06-30,7546
454,nsw-vfr,2003-09-30,7838
455,nsw-vfr,2003-12-31,8887
456,nsw-vfr,2004-03-31,10864
457,nsw-vfr,2004-06-30,8799
458,nsw-vfr,2004-09-30,7892
459,nsw-vfr,2004-12-31,8998
460,nsw-vfr,2005-03-31,9836
461,nsw-vfr,2005-06-30,6806
462,nsw-vfr,2005-09-30,6841
463,nsw-vfr,2005-12-31,7468
464,nsw-vfr,2006-03-31,9687
465,nsw-vfr,2006-06-30,8051
466,nsw-vfr,2006-09-30,6797
467,nsw-vfr,2006-12-31,8079
468,vic-vfr,1998-03-31,5993
469,vic-vfr,1998-06-30,4107
470,vic-vfr,1998-09-30,3811
471,vic-vfr,1998-12-31,5090
472,vic-vfr,1999-03-31,6152
473,vic-vfr,1999-06-30,3548
474,vic-vfr,1999-09-30,3389
475,vic-vfr,1999-12-31,3666
476,vic-vfr,2000-03-31,5797
477,vic-vfr,2000-06-30,3927
478,vic-vfr,2000-09-30,3487
479,vic-vfr,2000-12-31,4355
480,vic-vfr,2001-03-31,5165
481,vic-vfr,2001-06-30,3754
482,vic-vfr,2001-09-30,3783
483,vic-vfr,2001-12-31,5031
484,vic-vfr,2002-03-31,6035
485,vic-vfr,2002-06-30,4599
486,vic-vfr,2002-09-30,4091
487,vic-vfr,2002-12-31,5150
488,vic-vfr,2003-03-31,5652
489,vic-vfr,2003-06-30,5012
490,vic-vfr,2003-09-30,3778
491,vic-vfr,2003-12-31,5484
492,vic-vfr,2004-03-31,6296
493,vic-vfr,2004-06-30,4968
494,vic-vfr,2004-09-30,3995
495,vic-vfr,2004-12-31,4543
496,vic-vfr,2005-03-31,6364
497,vic-vfr,2005-06-30,3863
498,vic-vfr,2005-09-30,3418
499,vic-vfr,2005-12-31,3746
500,vic-vfr,2006-03-31,5543
501,vic-vfr,2006-06-30,5192
502,vic-vfr,2006-09-30,3587
503,vic-vfr,2006-12-31,4458
504,qld-vfr,1998-03-31,5290
505,qld-vfr,1998-06-30,4902
506,qld-vfr,1998-09-30,5489
507,qld-vfr,1998-12-31,4441
508,qld-vfr,1999-03-31,5636
509,qld-vfr,1999-06-30,4576
510,qld-vfr,1999-09-30,5396
511,qld-vfr,1999-12-31,4813
512,qld-vfr,2000-03-31,4813
513,qld-vfr,2000-06-30,4545
514,qld-vfr,2000-09-30,5785
515,qld-vfr,2000-12-31,5026
516,qld-vfr,2001-03-31,4887
517,qld-vfr,2001-06-30,4946
518,qld-vfr,2001-09-30,5583
519,qld-vfr,2001-12-31,4593
520,qld-vfr,2002-03-31,5016
521,qld-vfr,2002-06-30,3865
522,qld-vfr,2002-09-30,6924
523,qld-vfr,2002-12-31,5047
524,qld-vfr,2003-03-31,6495
525,qld-vfr,2003-06-30,6075
526,qld-vfr,2003-09-30,6574
527,qld-vfr,2003-12-31,5342
528,qld-vfr,2004-03-31,6499
529,qld-vfr,2004-06-30,5328
530,qld-vfr,2004-09-30,7068
531,qld-vfr,2004-12-31,5861
532,qld-vfr,2005-03-31,6838
533,qld-vfr,2005-06-30,4947
534,qld-vfr,2005-09-30,5132
535,qld-vfr,2005-12-31,4883
536,qld-vfr,2006-03-31,5763
537,qld-vfr,2006-06-30,5459
538,qld-vfr,2006-09-30,5759
539,qld-vfr,2006-12-31,5695
540,sa-vfr,1998-03-31,2193
541,sa-vfr,1998-06-30,1445
542,sa-vfr,1998-09-30,1453
543,sa-vfr,1998-12-31,1209
544,sa-vfr,1999-03-31,1685
545,sa-vfr,1999-06-30,1484
546,sa-vfr,1999-09-30,1561
547,sa-vfr,1999-12-31,1458
548,sa-vfr,2000-03-31,2297
549,sa-vfr,2000-06-30,1464
550,sa-vfr,2000-09-30,980
551,sa-vfr,2000-12-31,1201
552,sa-vfr,2001-03-31,1873
553,sa-vfr,2001-06-30,1330
554,sa-vfr,2001-09-30,1230
555,sa-vfr,2001-12-31,1625
556,sa-vfr,2002-03-31,1728
557,sa-vfr,2002-06-30,1581
558,sa-vfr,2002-09-30,1904
559,sa-vfr,2002-12-31,1563
560,sa-vfr,2003-03-31,2269
561,sa-vfr,2003-06-30,1723
562,sa-vfr,2003-09-30,1464
563,sa-vfr,2003-12-31,1587
564,sa-vfr,2004-03-31,2583
565,sa-vfr,2004-06-30,1711
566,sa-vfr,2004-09-30,1321
567,sa-vfr,2004-12-31,1722
568,sa-vfr,2005-03-31,2224
569,sa-vfr,2005-06-30,1114
570,sa-vfr,2005-09-30,1077
571,sa-vfr,2005-12-31,1379
572,sa-vfr,2006-03-31,1845
573,sa-vfr,2006-06-30,1392
574,sa-vfr,2006-09-30,1048
575,sa-vfr,2006-12-31,1619
576,wa-vfr,1998-03-31,1781
577,wa-vfr,1998-06-30,1353
578,wa-vfr,1998-09-30,1687
579,wa-vfr,1998-12-31,1714
580,wa-vfr,1999-03-31,2026
581,wa-vfr,1999-06-30,1908
582,wa-vfr,1999-09-30,1795
583,wa-vfr,1999-12-31,1357
584,wa-vfr,2000-03-31,1645
585,wa-vfr,2000-06-30,1818
586,wa-vfr,2000-09-30,1481
587,wa-vfr,2000-12-31,2133
588,wa-vfr,2001-03-31,1847
589,wa-vfr,2001-06-30,1461
590,wa-vfr,2001-09-30,1621
591,wa-vfr,2001-12-31,1942
592,wa-vfr,2002-03-31,2303
593,wa-vfr,2002-06-30,2038
594,wa-vfr,2002-09-30,1738
595,wa-vfr,2002-12-31,1791
596,wa-vfr,2003-03-31,2567
597,wa-vfr,2003-06-30,1755
598,wa-vfr,2003-09-30,2219
599,wa-vfr,2003-12-31,2284
600,wa-vfr,2004-03-31,2397
601,wa-vfr,2004-06-30,1940
602,wa-vfr,2004-09-30,2057
603,wa-vfr,2004-12-31,1804
604,wa-vfr,2005-03-31,2297
605,wa-vfr,2005-06-30,1992
606,wa-vfr,2005-09-30,2212
607,wa-vfr,2005-12-31,1981
608,wa-vfr,2006-03-31,2172
609,wa-vfr,2006-06-30,1990
610,wa-vfr,2006-09-30,1564
611,wa-vfr,2006-12-31,2178
612,tas-vfr,1998-03-31,1350
613,tas-vfr,1998-06-30,523
614,tas-vfr,1998-09-30,391
615,tas-vfr,1998-12-31,394
616,tas-vfr,1999-03-31,784
617,tas-vfr,1999-06-30,625
618,tas-vfr,1999-09-30,350
619,tas-vfr,1999-12-31,375
620,tas-vfr,2000-03-31,642
621,tas-vfr,2000-06-30,541
622,tas-vfr,2000-09-30,375
623,tas-vfr,2000-12-31,630
624,tas-vfr,2001-03-31,705
625,tas-vfr,2001-06-30,416
626,tas-vfr,2001-09-30,358
627,tas-vfr,2001-12-31,473
628,tas-vfr,2002-03-31,643
629,tas-vfr,2002-06-30,404
630,tas-vfr,2002-09-30,409
631,tas-vfr,2002-12-31,447
632,tas-vfr,2003-03-31,789
633,tas-vfr,2003-06-30,614
634,tas-vfr,2003-09-30,313
635,tas-vfr,2003-12-31,889
636,tas-vfr,2004-03-31,1749
637,tas-vfr,2004-06-30,664
638,tas-vfr,2004-09-30,349
639,tas-vfr,2004-12-31,710
640,tas-vfr,2005-03-31,1118
641,tas-vfr,2005-06-30,574
642,tas-vfr,2005-09-30,474
643,tas-vfr,2005-12-31,391
644,tas-vfr,2006-03-31,792
645,tas-vfr,2006-06-30,649
646,tas-vfr,2006-09-30,522
647,tas-vfr,2006-12-31,331
648,nt-vfr,1998-03-31,37
649,nt-vfr,1998-06-30,517
650,nt-vfr,1998-09-30,474
651,nt-vfr,1998-12-31,462
652,nt-vfr,1999-03-31,278
653,nt-vfr,1999-06-30,227
654,nt-vfr,1999-09-30,347
655,nt-vfr,1999-12-31,58
656,nt-vfr,2000-03-31,321
657,nt-vfr,2000-06-30,167
658,nt-vfr,2000-09-30,465
659,nt-vfr,2000-12-31,120
660,nt-vfr,2001-03-31,173
661,nt-vfr,2001-06-30,127
662,nt-vfr,2001-09-30,411
663,nt-vfr,2001-12-31,136
664,nt-vfr,2002-03-31,189
665,nt-vfr,2002-06-30,143
666,nt-vfr,2002-09-30,471
667,nt-vfr,2002-12-31,233
668,nt-vfr,2003-03-31,270
669,nt-vfr,2003-06-30,285
670,nt-vfr,2003-09-30,291
671,nt-vfr,2003-12-31,210
672,nt-vfr,2004-03-31,180
673,nt-vfr,2004-06-30,453
674,nt-vfr,2004-09-30,572
675,nt-vfr,2004-12-31,574
676,nt-vfr,2005-03-31,134
677,nt-vfr,2005-06-30,339
678,nt-vfr,2005-09-30,589
679,nt-vfr,2005-12-31,106
680,nt-vfr,2006-03-31,443
681,nt-vfr,2006-06-30,215
682,nt-vfr,2006-09-30,474
683,nt-vfr,2006-12-31,398
684,nsw-bus,1998-03-31,2885
685,nsw-bus,1998-06-30,4301
686,nsw-bus,1998-09-30,4093
687,nsw-bus,1998-12-31,3463
688,nsw-bus,1999-03-31,3347
689,nsw-bus,1999-06-30,3668
690,nsw-bus,1999-09-30,4454
691,nsw-bus,1999-12-31,3793
692,nsw-bus,2000-03-31,2964
693,nsw-bus,2000-06-30,3669
694,nsw-bus,2000-09-30,3730
695,nsw-bus,2000-12-31,4237
696,nsw-bus,2001-03-31,3232
697,nsw-bus,2001-06-30,3348
698,nsw-bus,2001-09-30,3737
699,nsw-bus,2001-12-31,3735
700,nsw-bus,2002-03-31,3115
701,nsw-bus,2002-06-30,3556
702,nsw-bus,2002-09-30,4740
703,nsw-bus,2002-12-31,3744
704,nsw-bus,2003-03-31,3492
705,nsw-bus,2003-06-30,3515
706,nsw-bus,2003-09-30,3444
707,nsw-bus,2003-12-31,3727
708,nsw-bus,2004-03-31,3325
709,nsw-bus,2004-06-30,2948
710,nsw-bus,2004-09-30,3347
711,nsw-bus,2004-12-31,3009
712,nsw-bus,2005-03-31,3568
713,nsw-bus,2005-06-30,2927
714,nsw-bus,2005-09-30,3507
715,nsw-bus,2005-12-31,3027
716,nsw-bus,2006-03-31,2571
717,nsw-bus,2006-06-30,3151
718,nsw-bus,2006-09-30,3462
719,nsw-bus,2006-12-31,3159
720,vic-bus,1998-03-31,2148
721,vic-bus,1998-06-30,1825
722,vic-bus,1998-09-30,1944
723,vic-bus,1998-12-31,1753
724,vic-bus,1999-03-31,1522
725,vic-bus,1999-06-30,1878
726,vic-bus,1999-09-30,1545
727,vic-bus,1999-12-31,1855
728,vic-bus,2000-03-31,1742
729,vic-bus,2000-06-30,1655
730,vic-bus,2000-09-30,1849
731,vic-bus,2000-12-31,2209
732,vic-bus,2001-03-31,1762
733,vic-bus,2001-06-30,1641
734,vic-bus,2001-09-30,2075
735,vic-bus,2001-12-31,2026
736,vic-bus,2002-03-31,1672
737,vic-bus,2002-06-30,1440
738,vic-bus,2002-09-30,2224
739,vic-bus,2002-12-31,2023
740,vic-bus,2003-03-31,1900
741,vic-bus,2003-06-30,2208
742,vic-bus,2003-09-30,1907
743,vic-bus,2003-12-31,1479
744,vic-bus,2004-03-31,1542
745,vic-bus,2004-06-30,2001
746,vic-bus,2004-09-30,1899
747,vic-bus,2004-12-31,1683
748,vic-bus,2005-03-31,1292
749,vic-bus,2005-06-30,1445
750,vic-bus,2005-09-30,1748
751,vic-bus,2005-12-31,2112
752,vic-bus,2006-03-31,1257
753,vic-bus,2006-06-30,1593
754,vic-bus,2006-09-30,2056
755,vic-bus,2006-12-31,1888
756,qld-bus,1998-03-31,2093
757,qld-bus,1998-06-30,2224
758,qld-bus,1998-09-30,3379
759,qld-bus,1998-12-31,2880
760,qld-bus,1999-03-31,2751
761,qld-bus,1999-06-30,3715
762,qld-bus,1999-09-30,2646
763,qld-bus,1999-12-31,2130
764,qld-bus,2000-03-31,2770
765,qld-bus,2000-06-30,2361
766,qld-bus,2000-09-30,2920
767,qld-bus,2000-12-31,2729
768,qld-bus,2001-03-31,1768
769,qld-bus,2001-06-30,2299
770,qld-bus,2001-09-30,2993
771,qld-bus,2001-12-31,2660
772,qld-bus,2002-03-31,1990
773,qld-bus,2002-06-30,2408
774,qld-bus,2002-09-30,3011
775,qld-bus,2002-12-31,2678
776,qld-bus,2003-03-31,2224
777,qld-bus,2003-06-30,2268
778,qld-bus,2003-09-30,2750
779,qld-bus,2003-12-31,2442
780,qld-bus,2004-03-31,2171
781,qld-bus,2004-06-30,2168
782,qld-bus,2004-09-30,3114
783,qld-bus,2004-12-31,2254
784,qld-bus,2005-03-31,2150
785,qld-bus,2005-06-30,2208
786,qld-bus,2005-09-30,2945
787,qld-bus,2005-12-31,3499
788,qld-bus,2006-03-31,2607
789,qld-bus,2006-06-30,2399
790,qld-bus,2006-09-30,3129
791,qld-bus,2006-12-31,2910
